username,target_population,locals_vs_diaspora,person_vs_organization,consensus_source
Roy_Iddan,1,1,1,auto_agree
RayneNGrace,0,0,1,auto_agree
shirellaloom,1,1,1,auto_agree
raananshaked,1,1,1,auto_agree
IsraelMOH,1,1,0,auto_agree
HiggsBozoEffect,1,0,1,manual_discussion
Haredim_Ashdod,1,1,0,auto_agree
itayr2,1,1,1,auto_agree
BtSIsrael,1,1,0,auto_agree
rakovdan,2,2,1,manual_discussion
Liorsl,1,1,1,auto_agree
FeaturedRegards,2,2,1,manual_discussion
AlonaSherf,1,1,1,auto_agree
HenMazzig,2,0,1,manual_discussion
natalie_Zion_,0,0,1,auto_agree
yoav_gro,1,1,1,auto_agree
shashashayli,1,1,1,auto_agree
moss_tweets_,0,0,1,manual_discussion
hanan_green,1,1,1,auto_agree
marmeladda,1,1,1,auto_agree
SteinmanTamir,1,1,1,auto_agree
ElizabethRimini,1,1,1,auto_agree
frederic_scheer,0,0,1,auto_agree
warnerthuston,0,0,1,auto_agree
The_Adams1,1,1,1,auto_agree
Israellycool,1,1,1,auto_agree
jk006d,1,2,1,auto_agree
zalmanovitz,1,1,1,auto_agree
orasetter,1,1,1,auto_agree
Dudibnhmo,1,1,1,auto_agree
miluimnikim,1,1,0,auto_agree
orenlebovitch,1,1,1,auto_agree
feministitFTW,1,1,0,auto_agree
GenFlynn,0,0,1,manual_discussion
zionutdatit,1,1,0,manual_discussion
DaliaHochberg,1,1,1,auto_agree
ksminnovation,1,1,0,manual_discussion
shwrzenberg,1,1,1,auto_agree
GSzneiberg,0,0,1,manual_discussion
aronkalman1,1,1,1,auto_agree
ExArcanaImperii,0,0,1,auto_agree
PearlmanYeC,2,2,1,manual_discussion
Arabhebre,1,1,0,auto_agree
Hollandia_il,1,1,0,manual_discussion
yoaveven,1,1,1,auto_agree
YMalulu,1,1,1,auto_agree
tomweg,1,1,1,auto_agree
UriSadot,1,1,1,auto_agree
EmekShaveh,1,1,0,auto_agree
itamarfleishe,1,1,1,auto_agree
uriweltmann,1,1,1,manual_discussion
Roni_katz1,1,1,1,auto_agree
Energy_IL,1,1,0,auto_agree
MariaGArocha,0,0,1,auto_agree
lopoter,1,1,1,auto_agree
hadarseg,1,1,1,auto_agree
marymauldin,0,0,1,manual_discussion
adamscottbellos,1,1,1,auto_agree
amaliadoron,1,1,1,auto_agree
AR__PU,2,2,2,manual_discussion
moshes2912,1,1,1,auto_agree
EstyS,1,1,1,auto_agree
AdrielBeneviste,1,1,1,auto_agree
BerentMoshe,1,1,1,auto_agree
democratechil,1,1,0,auto_agree
Uvda_tweet,1,1,0,auto_agree
Tani_Frank,1,1,1,auto_agree
israzohar,1,1,1,auto_agree
MichalBenArii,1,1,1,auto_agree
MarkLevineNYC,0,0,1,auto_agree
gnz_ysr,1,1,1,auto_agree
BigStivo_,1,1,1,auto_agree
dont_make_afuss,1,1,1,manual_discussion
elbazr5,1,1,1,auto_agree
mz_nh45180,1,1,0,manual_discussion
uricirlin1,1,1,1,auto_agree
Epoch_Magazine,1,1,0,manual_discussion
EFischberger,1,1,1,auto_agree
moriatshuva1,1,1,1,auto_agree
QskGMqpKbSuU0vm,1,1,1,auto_agree
SivanRahav,1,1,1,auto_agree
envirohaaretz,1,1,1,auto_agree
eliahu51,1,1,1,auto_agree
Schlesinger23,1,1,1,auto_agree
j_damari,1,1,1,auto_agree
LahavHarkov,1,1,1,auto_agree
MottyFarangy,1,1,1,auto_agree
JMileiElecto,2,2,2,manual_discussion
TalShamay,1,1,1,auto_agree
BradSherman,0,0,1,auto_agree
sergio_barbanti,0,0,1,auto_agree
ERSpeiser,1,1,1,auto_agree
amirshuan,1,1,1,auto_agree
NaorGozlan,1,0,1,manual_discussion
mordiamar,1,1,1,auto_agree
Lauren_Provost,0,0,1,auto_agree
Yesh_Din,1,1,0,manual_discussion
ElfeVan,0,0,2,manual_discussion
asafzamir,1,1,1,auto_agree
Motek_mordehay,1,1,1,auto_agree
