username,bio,location,target_population_ofir,target_population_matan,target_population,locals_vs_diaspora_ofir,locals_vs_diaspora_matan,locals_vs_diaspora,person_vs_organization_ofir,person_vs_organization_matan,person_vs_organization,comments_ofir,comments_matan,final_comments,source_consensus
wzo_official,the world zionist organization is committed to promoting zionist ideals and a love for israel as vital and positive elements of contemporary jewish life.,jerusalem israel,1,1,1,1,1,1,0,1,0,"ההסתדרות הציונית העולמית, ממוקמת בירושלים",,,manual_resolution
assaf_refugees,א.ס.ף - ארגון סיוע לפליטים ומבקשי מקלט בישראל | הגנה מעמד חוקי זכויות חברתיות וכלכליות לפליטים ולמבקשי מקלט בישראל | assaf aid ngo for refugees in israel,israel,1,1,1,1,1,1,0,1,0,ארגון סיוע לפליטים בישראל,,,manual_resolution
homelandguards,citizens for clean energy and industry אזרחים לקידום אנרגיה נקיה ועצירת תעשיה מזהמת.,israel,1,1,1,1,1,1,0,1,0,חברה לקידום אנרגיה נקיה,,,manual_resolution
TimesofIsrael,the one-stop news site for israel the region & the jewish world. follow,jerusalem israel,1,1,1,1,1,1,0,1,0,אתר חדשות ישראלי,,,manual_resolution
mountlevnon,advocating for a free maronite state committed to a mediterranean alliance with israel  cyprus and greece.,mount lebanon,0,0,0,0,0,0,0,1,0,ביתו של נשיא ארצות הברית הראשום,,,manual_resolution
AiroboticsUAV,"trusted autonomous drones. 
mission critical drone infrastructure for smart cities public safety defense hls and industrial services.",israel usa,1,0,1,1,0,1,0,0,0,חברה שקשורה לרחפנים בישראל,,,manual_resolution
CAMERAorg,camera - committee for accuracy in middle east reporting & analysis. media-monitoring & research. follows & rt ≠ endorsement.,usa & israel,2,1,1,2,1,1,2,0,0,לא נמצא בטוויטר ופה כתוב ישראל ואמריקה אז אין תשובה חדש משמעיצ,,,manual_resolution
AlonPinkas,cos/fp advisor to 1 pm & 4 of israel's best foreign ministers since 70ce. fmr. amb. consul general in ny. played for the arsenal 1979 fa cup final,tel aviv israel,1,2,1,1,2,1,1,2,1,ישראלי שגר בישראל,משתמש לא קיים,,manual_resolution
hagigat1,"israel-china-ecuador-israel. sports (football athletics basketball) coffee and mobility
not the bs engineer you'd expect (well not an engineer for start",,1,1,1,2,1,1,1,1,1,ישראלי לא ידוע איפה נמצא כרגע כי כתוב גם סין או קאוודוק,,,manual_resolution
IsraelinNewYork,the official twitter account of the consulate general of israel in new york,new york,1,0,1,0,1,0,0,1,0,חשבון של הקנסוליה הישראלית בנויורק,,,manual_resolution
CampusJewHate,influence academic institutions to oppose jew-hatred by exposing toxic anti-israel climate on their campuses.,manhattan ny,0,0,0,0,0,0,0,1,0,חברה בחול למען התנגדות שנאת יהודים,,,manual_resolution
PosenIzzy,british jew. 'small c' british conservatism. europhile. pro-natalism. yiddish/hebrew translator/researcher. maths/physics tutor.,london england,0,0,0,0,0,0,1,0,1,יהודי כנראה אך גר בחול וכנראה נולד שם,,,manual_resolution
Asher_Senor,american israeli jew.,,0,2,1,0,2,0,1,2,1,אמריקאי ישראלי,,,manual_resolution
evagideoncross,"kindle unlimited professional and pole dance enthusiast
jew/zionist",,2,1,2,2,1,2,2,1,2,משתמש לא נמצא ואין מספיק מידע,,,manual_resolution
DrJackBor,latino-jew. columbia university educated psychologist. certificate in bilingual and latino mental health.,,2,1,2,2,1,2,1,1,1,כתוב יהודי לטיני אך לא ידוע על מיקום והאם  נולד כאן,,,manual_resolution
AOC,us congresswoman ny-14. in a modern moral and wealthy society no american should be too poor to live. people-funded takes no lobbyist,bronx + queens nyc,0,0,0,0,0,0,0,1,0,חברת קונגרס אמריקאית,,,manual_resolution
maxkrasny,it always seems impossible until it’s done. mokka founder (ai for talent teams). gett intel capital alum.,nyc,2,0,2,2,0,2,2,1,2,משתמש לא נמצא ואין מספיק מידע,,,manual_resolution
TENml32,sports is my love !!!,,0,2,0,0,2,0,1,1,1,אמריקאי,,,manual_resolution
ColIaboRational,"world is complicated wanting it to be simple doesn't make it simple. 

['likes' and rts not necessarily endorsements just interesting in some way]",,0,2,2,0,2,2,1,2,2,מקרואטיה,לא הבנתי אם זה בן אדם או ארגון ומאיפה הוא ,,manual_resolution
KobbiShoshani,consul general of israel to midwest india mumbai. married + 3 tedx speakertennis lover  amateur astronomer (dreamer).,mumbai,1,0,1,1,0,1,1,1,1,ישראלי שגר בישראל,שגריר בהודו או משהו כזה ,,manual_resolution
Golan_yarden,personal account. former chief of staff to israel’s minister of strategic affairs and,israel,1,1,1,0,1,0,1,1,1,שגריר ישראל בארצות הברית,,,manual_resolution
fcpii_official,"تبلیغ و احیای دوستی بین مردم ایران و اسرائیل و پیکار با یهودستیزی
promoting friendship between the people of iran & israel and fighting against antisemitism",tehran iran,0,0,0,0,0,0,0,1,0,חברה איראנית לקידום שלופ עם ישראלים,,,manual_resolution
Robiiin_Hoodx,think of nothing but fighting,israel,0,1,1,0,1,1,1,1,1,תומך ישראל,,,manual_resolution
IditAbu,ambassador of israel to belgium and luxembourg,,1,0,1,1,0,0,1,0,1,ישראלית שגרה בישראל,,,manual_resolution
AmbAlKhaja,ambassador of the united arab emirates to israel,,0,0,0,0,0,0,1,0,1,לא מישראל,,,manual_resolution
HRM_Israel,מגנים על זכויות פליטים מהגרי עבודה וקורבנות סחר בישראל. safeguarding the rights of refugees migrants and victims of human trafficking in israel.,tel aviv israel,1,1,1,1,1,1,0,1,0,מוקד לפליטים ומהגרים בארץ,,,manual_resolution
ILMissionVienna,permanent mission of israel to the un osce & intern. organizations in vienna. bilateral:,,1,0,1,1,0,1,0,0,0,משלחת ישראלים באום ואגונים בינלאומיים,,,manual_resolution
